user_id,item_id,category_id,behavior_type,behavior_time,price,date,hour
2857,983,3,pv,2026-01-01 00:25:03,9.0,2026-01-01,0
2780,983,3,pv,2026-01-01 00:25:05,8.41,2026-01-01,0
391,1891,64,pv,2026-01-01 00:32:07,57.14,2026-01-01,0
4359,539,4,pv,2026-01-01 01:51:08,52.87,2026-01-01,1
368,1891,64,pv,2026-01-01 01:57:13,69.92,2026-01-01,1
4359,539,4,cart,2026-01-01 02:02:08,52.87,2026-01-01,2
2857,983,3,fav,2026-01-01 03:11:03,9.0,2026-01-01,3
2780,983,3,cart,2026-01-01 03:20:05,8.41,2026-01-01,3
1199,2632,56,pv,2026-01-01 03:44:24,21.67,2026-01-01,3
2128,1891,64,pv,2026-01-01 04:36:58,40.49,2026-01-01,4
2438,1891,64,pv,2026-01-01 04:56:03,46.83,2026-01-01,4
2091,1891,64,pv,2026-01-01 05:35:03,43.58,2026-01-01,5
1444,1891,64,pv,2026-01-01 05:44:24,74.55,2026-01-01,5
2639,983,3,pv,2026-01-01 06:02:55,11.03,2026-01-01,6
2214,983,3,pv,2026-01-01 06:08:26,10.76,2026-01-01,6
4933,688,57,pv,2026-01-01 06:12:14,40.14,2026-01-01,6
4241,1891,64,pv,2026-01-01 06:20:28,49.92,2026-01-01,6
3740,1891,64,pv,2026-01-01 06:35:37,50.3,2026-01-01,6
4957,983,3,pv,2026-01-01 06:48:45,6.98,2026-01-01,6
1225,1891,64,pv,2026-01-01 07:00:21,47.32,2026-01-01,7
1561,983,3,pv,2026-01-01 07:06:58,7.23,2026-01-01,7
4224,249,16,pv,2026-01-01 07:09:26,38.68,2026-01-01,7
929,1891,64,pv,2026-01-01 07:19:34,27.35,2026-01-01,7
4324,1891,64,pv,2026-01-01 07:23:18,78.24,2026-01-01,7
2850,1891,64,pv,2026-01-01 07:24:08,54.3,2026-01-01,7
3507,1891,64,pv,2026-01-01 07:25:13,57.2,2026-01-01,7
3326,1891,64,pv,2026-01-01 07:33:24,41.06,2026-01-01,7
3853,1891,64,pv,2026-01-01 07:46:38,40.83,2026-01-01,7
2438,1891,64,fav,2026-01-01 07:55:03,46.83,2026-01-01,7
2416,688,57,pv,2026-01-01 07:59:13,26.64,2026-01-01,7
869,1891,64,pv,2026-01-01 08:01:55,29.4,2026-01-01,8
2438,1891,64,cart,2026-01-01 08:04:03,46.83,2026-01-01,8
4437,1891,64,pv,2026-01-01 08:07:43,48.51,2026-01-01,8
3076,1891,64,pv,2026-01-01 08:07:51,50.15,2026-01-01,8
4941,1891,64,pv,2026-01-01 08:23:09,59.64,2026-01-01,8
4933,688,57,cart,2026-01-01 08:23:14,40.14,2026-01-01,8
3620,1891,64,pv,2026-01-01 08:23:22,33.05,2026-01-01,8
4318,1891,64,pv,2026-01-01 08:28:47,24.46,2026-01-01,8
2202,1891,64,pv,2026-01-01 08:41:25,44.34,2026-01-01,8
3197,688,57,pv,2026-01-01 08:41:32,20.0,2026-01-01,8
180,1891,64,pv,2026-01-01 08:42:13,34.28,2026-01-01,8
3426,1891,64,pv,2026-01-01 08:44:12,61.7,2026-01-01,8
1939,983,3,pv,2026-01-01 08:44:44,9.38,2026-01-01,8
1225,1891,64,fav,2026-01-01 08:45:21,47.32,2026-01-01,8
1259,1891,64,pv,2026-01-01 08:46:34,63.07,2026-01-01,8
2042,1891,64,pv,2026-01-01 08:54:31,35.91,2026-01-01,8
63,1720,65,pv,2026-01-01 08:57:10,32.7,2026-01-01,8
4914,983,3,pv,2026-01-01 08:58:16,6.66,2026-01-01,8
4038,333,26,pv,2026-01-01 09:12:04,18.38,2026-01-01,9
2566,1891,64,pv,2026-01-01 09:19:08,79.21,2026-01-01,9
266,1891,64,pv,2026-01-01 09:21:06,70.54,2026-01-01,9
3132,1891,64,pv,2026-01-01 09:21:33,45.01,2026-01-01,9
4359,539,4,buy,2026-01-01 09:22:08,52.87,2026-01-01,9
883,983,3,pv,2026-01-01 09:24:11,5.72,2026-01-01,9
1167,2167,30,pv,2026-01-01 09:26:35,19.66,2026-01-01,9
2548,1891,64,pv,2026-01-01 09:29:51,40.67,2026-01-01,9
4252,1721,11,pv,2026-01-01 09:31:26,33.11,2026-01-01,9
3350,1891,64,pv,2026-01-01 09:31:27,53.39,2026-01-01,9
4586,1891,64,pv,2026-01-01 09:34:14,40.37,2026-01-01,9
3472,1891,64,pv,2026-01-01 09:36:25,29.24,2026-01-01,9
1437,1891,64,pv,2026-01-01 09:37:52,44.06,2026-01-01,9
4721,1891,64,pv,2026-01-01 09:45:01,48.14,2026-01-01,9
1692,1891,64,pv,2026-01-01 09:46:09,22.52,2026-01-01,9
4817,1891,64,pv,2026-01-01 09:48:05,98.9,2026-01-01,9
919,983,3,pv,2026-01-01 09:49:06,6.69,2026-01-01,9
1853,1882,23,pv,2026-01-01 09:50:20,33.88,2026-01-01,9
1551,1595,2,pv,2026-01-01 09:51:19,33.18,2026-01-01,9
63,1720,65,fav,2026-01-01 09:52:10,32.7,2026-01-01,9
1770,983,3,pv,2026-01-01 10:00:41,9.05,2026-01-01,10
2666,2167,30,pv,2026-01-01 10:06:27,17.77,2026-01-01,10
869,1891,64,fav,2026-01-01 10:15:55,29.4,2026-01-01,10
441,1891,64,pv,2026-01-01 10:17:52,46.87,2026-01-01,10
2042,1891,64,cart,2026-01-01 10:19:31,35.91,2026-01-01,10
2617,1891,64,pv,2026-01-01 10:20:25,57.42,2026-01-01,10
3014,1891,64,pv,2026-01-01 10:21:28,44.83,2026-01-01,10
4982,1891,64,pv,2026-01-01 10:21:48,61.31,2026-01-01,10
4941,1891,64,buy,2026-01-01 10:22:09,59.64,2026-01-01,10
680,983,3,pv,2026-01-01 10:25:19,6.52,2026-01-01,10
3881,1891,64,pv,2026-01-01 10:27:27,44.76,2026-01-01,10
4185,1721,11,pv,2026-01-01 10:28:47,20.4,2026-01-01,10
4437,1891,64,fav,2026-01-01 10:29:43,48.51,2026-01-01,10
285,1891,64,pv,2026-01-01 10:34:42,38.53,2026-01-01,10
233,1891,64,pv,2026-01-01 10:34:52,44.91,2026-01-01,10
569,1756,30,pv,2026-01-01 10:35:25,32.79,2026-01-01,10
3273,1891,64,pv,2026-01-01 10:37:48,48.17,2026-01-01,10
2202,1891,64,buy,2026-01-01 10:46:25,44.34,2026-01-01,10
2566,1891,64,pv,2026-01-01 10:50:29,73.2,2026-01-01,10
1350,983,3,pv,2026-01-01 10:50:34,5.58,2026-01-01,10
233,1891,64,cart,2026-01-01 10:50:52,44.91,2026-01-01,10
